Organization Name,Partner Type,County,City,Industry Sector,Entrepreneur Demographic Group,Business Stage,Reporting Month,Businesses Supported,New Businesses Started,Jobs Created,Jobs Retained,Capital Raised,Grants Awarded,Loans Facilitated,Referrals Made,Programs Delivered,Entrepreneurs Served,Mentor Hours,Data Completeness Score,Data Source,Last Updated Date
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Retail,Immigrant-Founded,Early Growth,2026-04,133,22,89,74,1574666,274275,617291,63,2,168,379,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Creative / Media,Women-Owned,Startup,2026-04,62,12,35,36,522395,65599,192199,36,1,80,143,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Food & Beverage,Other,Established,2026-04,21,4,20,21,404376,52671,146892,17,1,31,123,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Logistics,Women-Owned,Startup,2026-04,68,8,29,25,952843,202165,251969,58,2,103,268,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Other,Startup,2026-04,85,10,29,35,866837,255132,244017,42,5,111,329,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Healthcare,Veteran-Owned,Idea,2026-04,34,4,18,28,620615,102220,97572,20,2,61,233,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Logistics,Other,Established,2026-04,11,1,10,13,98745,28782,28862,9,1,16,53,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Retail,Other,Early Growth,2026-04,15,3,13,14,141405,38245,26970,9,3,28,102,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Construction,Minority-Owned,Startup,2026-04,32,6,23,31,486073,96205,180504,16,2,50,179,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Logistics,Minority-Owned,Scaling,2026-04,11,1,9,10,57938,13745,10936,4,2,15,39,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Logistics,Immigrant-Founded,Scaling,2026-04,24,4,16,25,296874,63444,85425,21,2,43,91,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Technology,Immigrant-Founded,Scaling,2026-04,35,5,17,17,1486820,202074,290750,16,2,50,89,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Construction,Women-Owned,Established,2026-04,22,3,13,16,164926,22597,55540,12,3,33,121,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Other,Idea,2026-04,20,2,11,12,196145,31493,69294,13,2,31,104,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Professional Services,Rural,Established,2026-04,28,3,14,18,154837,22971,55822,17,1,49,132,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Creative / Media,Women-Owned,Early Growth,2026-04,29,3,15,20,227883,33846,50979,19,2,45,69,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Construction,Women-Owned,Idea,2026-04,32,4,20,25,287897,58348,95338,25,3,49,78,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Logistics,Minority-Owned,Idea,2026-04,25,2,11,12,433543,103834,67286,17,2,40,153,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Other,Established,2026-04,27,5,20,25,317357,76888,123753,25,2,46,84,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Other,Startup,2026-04,16,2,6,5,239002,38414,48364,10,1,22,55,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Technology,Other,Early Growth,2026-05,71,14,61,50,695170,100673,149083,38,2,121,368,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Professional Services,Other,Idea,2026-05,67,13,54,69,1350946,395191,457891,28,1,87,336,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Other,Scaling,2026-05,30,3,3,3,190109,35798,52560,23,3,41,77,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Manufacturing,Women-Owned,Early Growth,2026-05,62,9,32,45,723616,84696,175917,30,3,82,192,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Construction,Minority-Owned,Startup,2026-05,87,11,52,58,1139254,196355,179364,56,3,133,482,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Healthcare,Other,Scaling,2026-05,43,9,25,21,3231385,360499,994949,36,2,69,214,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Creative / Media,Other,Established,2026-05,24,3,18,27,340908,81838,89163,10,1,36,101,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Retail,Other,Scaling,2026-05,23,4,15,16,267037,65429,89460,11,1,33,52,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Healthcare,Immigrant-Founded,Scaling,2026-05,27,4,20,18,237228,60453,78671,12,3,40,119,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Creative / Media,Women-Owned,Idea,2026-05,21,2,9,13,134236,19762,45162,13,2,32,48,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Creative / Media,Other,Startup,2026-05,21,3,17,23,259768,68726,62426,13,2,29,67,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Manufacturing,Women-Owned,Established,2026-05,34,7,25,28,1825949,326765,394265,25,2,61,181,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Logistics,Rural,Established,2026-05,14,2,2,2,162109,33366,52461,8,2,20,78,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Logistics,Immigrant-Founded,Startup,2026-05,33,5,18,16,348586,103949,78715,20,1,43,80,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Logistics,Women-Owned,Startup,2026-05,33,6,32,31,407351,111648,103627,32,2,60,108,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Food & Beverage,Youth (Under 30),Early Growth,2026-05,35,6,24,28,655845,108242,229514,21,2,48,125,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Construction,Veteran-Owned,Established,2026-05,23,3,12,10,305182,49369,95000,11,1,33,101,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Creative / Media,Women-Owned,Scaling,2026-05,24,3,14,16,1123105,174072,226250,9,2,31,87,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Logistics,Women-Owned,Scaling,2026-05,23,4,10,11,242296,29785,42361,17,3,41,94,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Healthcare,Minority-Owned,Startup,2026-05,16,2,10,12,142390,23353,36053,10,1,27,44,66,Airtable Base,2026-05-22
